Name,Label
S0101_C03_004E,Estimate Male Total population AGE 10 to 14 years
S0101_C03_005E,Estimate Male Total population AGE 15 to 19 years
S0101_C03_006E,Estimate Male Total population AGE 20 to 24 years
S0101_C03_007E,Estimate Male Total population AGE 25 to 29 years
S0101_C03_008E,Estimate Male Total population AGE 30 to 34 years
S0101_C03_009E,Estimate Male Total population AGE 35 to 39 years
S0101_C03_010E,Estimate Male Total population AGE 40 to 44 years
S0101_C03_011E,Estimate Male Total population AGE 45 to 49 years
S0101_C03_012E,Estimate Male Total population AGE 50 to 54 years
S0101_C03_013E,Estimate Male Total population AGE 55 to 59 years
S0101_C03_014E,Estimate Male Total population AGE 60 to 64 years
S0101_C03_015E,Estimate Male Total population AGE 65 to 69 years
S0101_C03_016E,Estimate Male Total population AGE 70 to 74 years
S0101_C03_017E,Estimate Male Total population AGE 75 to 79 years
S0101_C03_018E,Estimate Male Total population AGE 80 to 84 years
S0101_C03_019E,Estimate Male Total population AGE 85 years and over
S0101_C03_020E,Estimate Male Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C03_021E,Estimate Male Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C03_022E,Estimate Male Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C03_023E,Estimate Male Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C03_024E,Estimate Male Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C03_025E,Estimate Male Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C03_026E,Estimate Male Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C03_027E,Estimate Male Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C03_028E,Estimate Male Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C03_029E,Estimate Male Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C03_030E,Estimate Male Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C03_031E,Estimate Male Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C03_032E,Estimate Male Total population SUMMARY INDICATORS Median age (years)
S0101_C03_033E,Estimate Male Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C03_034E,Estimate Male Total population SUMMARY INDICATORS Age dependency ratio
S0101_C03_035E,Estimate Male Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C03_036E,Estimate Male Total population SUMMARY INDICATORS Child dependency ratio
S0101_C03_037E,Estimate Male Total population PERCENT ALLOCATED Sex
S0101_C03_038E,Estimate Male Total population PERCENT ALLOCATED Age
S0101_C04_001E,Estimate Percent Male Total population
S0101_C04_002E,Estimate Percent Male Total population AGE Under 5 years
S0101_C04_003E,Estimate Percent Male Total population AGE 5 to 9 years
S0101_C04_004E,Estimate Percent Male Total population AGE 10 to 14 years
S0101_C04_005E,Estimate Percent Male Total population AGE 15 to 19 years
S0101_C04_006E,Estimate Percent Male Total population AGE 20 to 24 years
S0101_C04_007E,Estimate Percent Male Total population AGE 25 to 29 years
S0101_C04_008E,Estimate Percent Male Total population AGE 30 to 34 years
S0101_C04_009E,Estimate Percent Male Total population AGE 35 to 39 years
S0101_C04_010E,Estimate Percent Male Total population AGE 40 to 44 years
S0101_C04_011E,Estimate Percent Male Total population AGE 45 to 49 years
S0101_C04_012E,Estimate Percent Male Total population AGE 50 to 54 years
S0101_C04_013E,Estimate Percent Male Total population AGE 55 to 59 years
S0101_C04_014E,Estimate Percent Male Total population AGE 60 to 64 years
S0101_C04_015E,Estimate Percent Male Total population AGE 65 to 69 years
S0101_C04_016E,Estimate Percent Male Total population AGE 70 to 74 years
S0101_C04_017E,Estimate Percent Male Total population AGE 75 to 79 years
S0101_C04_018E,Estimate Percent Male Total population AGE 80 to 84 years
S0101_C04_019E,Estimate Percent Male Total population AGE 85 years and over
S0101_C04_020E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C04_021E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C04_022E,Estimate Percent Male Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C04_023E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C04_024E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C04_025E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C04_026E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C04_027E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C04_028E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C04_029E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C04_030E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C04_031E,Estimate Percent Male Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C04_032E,Estimate Percent Male Total population SUMMARY INDICATORS Median age (years)
S0101_C04_033E,Estimate Percent Male Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C04_034E,Estimate Percent Male Total population SUMMARY INDICATORS Age dependency ratio
S0101_C04_035E,Estimate Percent Male Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C04_036E,Estimate Percent Male Total population SUMMARY INDICATORS Child dependency ratio
S0101_C04_037E,Estimate Percent Male Total population PERCENT ALLOCATED Sex
S0101_C04_038E,Estimate Percent Male Total population PERCENT ALLOCATED Age
S0101_C05_001E,Estimate Female Total population
S0101_C05_002E,Estimate Female Total population AGE Under 5 years
S0101_C05_003E,Estimate Female Total population AGE 5 to 9 years
S0101_C05_004E,Estimate Female Total population AGE 10 to 14 years
S0101_C05_005E,Estimate Female Total population AGE 15 to 19 years
S0101_C05_006E,Estimate Female Total population AGE 20 to 24 years
S0101_C05_007E,Estimate Female Total population AGE 25 to 29 years
S0101_C05_008E,Estimate Female Total population AGE 30 to 34 years
S0101_C05_009E,Estimate Female Total population AGE 35 to 39 years
S0101_C05_010E,Estimate Female Total population AGE 40 to 44 years
S0101_C05_011E,Estimate Female Total population AGE 45 to 49 years
S0101_C05_012E,Estimate Female Total population AGE 50 to 54 years
S0101_C05_013E,Estimate Female Total population AGE 55 to 59 years
S0101_C05_014E,Estimate Female Total population AGE 60 to 64 years
S0101_C05_015E,Estimate Female Total population AGE 65 to 69 years
S0101_C05_016E,Estimate Female Total population AGE 70 to 74 years
S0101_C05_017E,Estimate Female Total population AGE 75 to 79 years
S0101_C05_018E,Estimate Female Total population AGE 80 to 84 years
S0101_C05_019E,Estimate Female Total population AGE 85 years and over
S0101_C05_020E,Estimate Female Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C05_021E,Estimate Female Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C05_022E,Estimate Female Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C05_023E,Estimate Female Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C05_024E,Estimate Female Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C05_025E,Estimate Female Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C05_026E,Estimate Female Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C05_027E,Estimate Female Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C05_028E,Estimate Female Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C05_029E,Estimate Female Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C05_030E,Estimate Female Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C05_031E,Estimate Female Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C05_032E,Estimate Female Total population SUMMARY INDICATORS Median age (years)
S0101_C05_033E,Estimate Female Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C05_034E,Estimate Female Total population SUMMARY INDICATORS Age dependency ratio
S0101_C05_035E,Estimate Female Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C05_036E,Estimate Female Total population SUMMARY INDICATORS Child dependency ratio
S0101_C05_037E,Estimate Female Total population PERCENT ALLOCATED Sex
S0101_C05_038E,Estimate Female Total population PERCENT ALLOCATED Age
S0101_C06_001E,Estimate Percent Female Total population
S0101_C06_002E,Estimate Percent Female Total population AGE Under 5 years
S0101_C06_003E,Estimate Percent Female Total population AGE 5 to 9 years
S0101_C06_004E,Estimate Percent Female Total population AGE 10 to 14 years
S0101_C06_005E,Estimate Percent Female Total population AGE 15 to 19 years
S0101_C06_006E,Estimate Percent Female Total population AGE 20 to 24 years
S0101_C06_007E,Estimate Percent Female Total population AGE 25 to 29 years
S0101_C06_008E,Estimate Percent Female Total population AGE 30 to 34 years
S0101_C06_009E,Estimate Percent Female Total population AGE 35 to 39 years
S0101_C06_010E,Estimate Percent Female Total population AGE 40 to 44 years
S0101_C06_011E,Estimate Percent Female Total population AGE 45 to 49 years
S0101_C06_012E,Estimate Percent Female Total population AGE 50 to 54 years
S0101_C06_013E,Estimate Percent Female Total population AGE 55 to 59 years
S0101_C06_014E,Estimate Percent Female Total population AGE 60 to 64 years
S0101_C06_015E,Estimate Percent Female Total population AGE 65 to 69 years
S0101_C06_016E,Estimate Percent Female Total population AGE 70 to 74 years
S0101_C06_017E,Estimate Percent Female Total population AGE 75 to 79 years
S0101_C06_018E,Estimate Percent Female Total population AGE 80 to 84 years
S0101_C06_019E,Estimate Percent Female Total population AGE 85 years and over
S0101_C06_020E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C06_021E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C06_022E,Estimate Percent Female Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C06_023E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C06_024E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C06_025E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C06_026E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C06_027E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C06_028E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C06_029E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C06_030E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C06_031E,Estimate Percent Female Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C06_032E,Estimate Percent Female Total population SUMMARY INDICATORS Median age (years)
S0101_C06_033E,Estimate Percent Female Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C06_034E,Estimate Percent Female Total population SUMMARY INDICATORS Age dependency ratio
S0101_C06_035E,Estimate Percent Female Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C06_036E,Estimate Percent Female Total population SUMMARY INDICATORS Child dependency ratio
S0101_C06_037E,Estimate Percent Female Total population PERCENT ALLOCATED Sex
S0101_C06_038E,Estimate Percent Female Total population PERCENT ALLOCATED Age
S0102_C01_001E,Estimate Total Total population
S0102_C01_002E,Estimate Total Total population SEX AND AGE Male
S0102_C01_003E,Estimate Total Total population SEX AND AGE Female
S0102_C01_004E,Estimate Total Total population SEX AND AGE Median age (years)
S0102_C01_005E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race
S0102_C01_006E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race White
S0102_C01_007E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race Black or African American
S0102_C01_008E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race American Indian and Alaska Native
S0102_C01_009E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race Asian
S0102_C01_010E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race Native Hawaiian and Other Pacific Islander
S0102_C01_011E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN One race Some other race
S0102_C01_012E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN Two or more races
S0102_C01_013E,Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race)
S0102_C01_014E,"Estimate Total Total population RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino"
S0102_C01_015E,Estimate Total RELATIONSHIP Population in households
S0102_C01_016E,Estimate Total RELATIONSHIP Population in households Householder or spouse
S0102_C01_017E,Estimate Total RELATIONSHIP Population in households Parent
S0102_C01_018E,Estimate Total RELATIONSHIP Population in households Other relatives
S0102_C01_019E,Estimate Total RELATIONSHIP Population in households Nonrelatives
S0102_C01_020E,Estimate Total RELATIONSHIP Population in households Nonrelatives Unmarried partner
S0102_C01_021E,Estimate Total HOUSEHOLDS BY TYPE Households
S0102_C01_022E,Estimate Total HOUSEHOLDS BY TYPE Households Family households
S0102_C01_023E,Estimate Total HOUSEHOLDS BY TYPE Households Family households Married-couple family
S0102_C01_024E,"Estimate Total HOUSEHOLDS BY TYPE Households Family households Female householder, no spouse present, family"
S0102_C01_025E,Estimate Total HOUSEHOLDS BY TYPE Households Nonfamily households
S0102_C01_026E,Estimate Total HOUSEHOLDS BY TYPE Households Nonfamily households Householder living alone
S0102_C01_027E,Estimate Total MARITAL STATUS Population 15 years and over
S0102_C01_028E,"Estimate Total MARITAL STATUS Population 15 years and over Now married, except separated"
S0102_C01_029E,Estimate Total MARITAL STATUS Population 15 years and over Widowed
S0102_C01_030E,Estimate Total MARITAL STATUS Population 15 years and over Divorced
S0102_C01_031E,Estimate Total MARITAL STATUS Population 15 years and over Separated
S0102_C01_032E,Estimate Total MARITAL STATUS Population 15 years and over Never married
S0102_C01_033E,Estimate Total EDUCATIONAL ATTAINMENT Population 25 years and over
S0102_C01_034E,Estimate Total EDUCATIONAL ATTAINMENT Population 25 years and over Less than high school graduate
S0102_C01_035E,"Estimate Total EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate, GED, or alternative"
S0102_C01_036E,Estimate Total EDUCATIONAL ATTAINMENT Population 25 years and over Some college or associate's degree
S0102_C01_037E,Estimate Total EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher
S0102_C01_038E,Estimate Total RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS Population 30 years and over
S0102_C01_039E,Estimate Total RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS Population 30 years and over Living with grandchild(ren)
S0102_C01_040E,Estimate Total RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS Population 30 years and over Living with grandchild(ren) Responsible for grandchild(ren)
S0102_C01_041E,Estimate Total VETERAN STATUS Civilian population 18 years and over
S0102_C01_042E,Estimate Total VETERAN STATUS Civilian population 18 years and over Civilian veteran
S0102_C01_043E,Estimate Total DISABILITY STATUS Civilian noninstitutionalized population
S0102_C01_044E,Estimate Total DISABILITY STATUS Civilian noninstitutionalized population With any disability
S0102_C01_045E,Estimate Total DISABILITY STATUS Civilian noninstitutionalized population No disability
S0102_C01_046E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over
S0102_C01_047E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Same house
S0102_C01_048E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the United States
S0102_C01_049E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the United States Same county
S0102_C01_050E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the United States Different county
S0102_C01_051E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the United States Different county Same state
S0102_C01_052E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Different house in the United States Different county Different state
S0102_C01_053E,Estimate Total RESIDENCE 1 YEAR AGO Population 1 year and over Abroad
S0102_C01_054E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population"
S0102_C01_055E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Native"
S0102_C01_056E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born"
S0102_C01_057E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born Entered 2010 or later"
S0102_C01_058E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born Entered 2000 to 2009"
S0102_C01_059E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born Entered before 2000"
S0102_C01_060E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born Naturalized U.S. citizen"
S0102_C01_061E,"Estimate Total PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY Total population Foreign born Not a U.S. citizen"
S0102_C01_062E,Estimate Total LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH Population 5 years and over
S0102_C01_063E,Estimate Total LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH Population 5 years and over English only
S0102_C01_064E,Estimate Total LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH Population 5 years and over Language other than English
S0102_C01_065E,"Estimate Total LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH Population 5 years and over Language other than English Speak English less than ""very well"""
S0102_C01_066E,Estimate Total EMPLOYMENT STATUS Population 16 years and over
S0102_C01_067E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force
S0102_C01_068E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force
S0102_C01_069E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force Employed
S0102_C01_070E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force Unemployed
S0102_C01_071E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force Civilian labor force Unemployed Percent of civilian labor force
S0102_C01_072E,Estimate Total EMPLOYMENT STATUS Population 16 years and over In labor force Armed forces
S0102_C01_073E,Estimate Total EMPLOYMENT STATUS Population 16 years and over Not in labor force
S0102_C01_074E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households
S0102_C01_075E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With earnings
S0102_C01_076E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With earnings Mean earnings (dollars)
S0102_C01_077E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With Social Security income
S0102_C01_078E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With Social Security income Mean Social Security income (dollars)
S0102_C01_079E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With Supplemental Security Income
S0102_C01_080E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With Supplemental Security Income Mean Supplemental Security Income (dollars)
S0102_C01_081E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With cash public assistance income
S0102_C01_082E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With cash public assistance income Mean cash public assistance income (dollars)
S0102_C01_083E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With retirement income
S0102_C01_084E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With retirement income Mean retirement income (dollars)
S0102_C01_085E,Estimate Total INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) Households With Food Stamp/SNAP benefits
S0102_C01_086E,Estimate Total POVERTY STATUS IN THE PAST 12 MONTHS Population for whom poverty status is determined
S0102_C01_087E,Estimate Total POVERTY STATUS IN THE PAST 12 MONTHS Population for whom poverty status is determined Below 100 percent of the poverty level
S0102_C01_088E,Estimate Total POVERTY STATUS IN THE PAST 12 MONTHS Population for whom poverty status is determined 100 to 149 percent of the poverty level
S0102_C01_089E,Estimate Total POVERTY STATUS IN THE PAST 12 MONTHS Population for whom poverty status is determined At or above 150 percent of the poverty level
S0102_C01_090E,Estimate Total Occupied housing units
S0102_C01_091E,Estimate Total Occupied housing units HOUSING TENURE Owner-occupied housing units
S0102_C01_092E,Estimate Total Occupied housing units HOUSING TENURE Renter-occupied housing units
S0102_C01_093E,Estimate Total Occupied housing units HOUSING TENURE Average household size of owner-occupied unit
S0102_C01_094E,Estimate Total Occupied housing units HOUSING TENURE Average household size of renter-occupied unit
S0102_C01_095E,Estimate Total Occupied housing units SELECTED CHARACTERISTICS No telephone service available
S0102_C01_096E,Estimate Total Occupied housing units SELECTED CHARACTERISTICS 1.01 or more occupants per room
S0102_C01_097E,Estimate Total Owner-occupied housing units
S0102_C01_098E,Estimate Total Owner-occupied housing units SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS Less than 30 percent
S0102_C01_099E,Estimate Total Owner-occupied housing units SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS 30 percent or more
S0102_C01_100E,Estimate Total Owner-occupied housing units OWNER CHARACTERISTICS Median value (dollars)
S0102_C01_101E,Estimate Total Owner-occupied housing units OWNER CHARACTERISTICS Median selected monthly owner costs with a mortgage (dollars)
S0102_C01_102E,Estimate Total Owner-occupied housing units OWNER CHARACTERISTICS Median selected monthly owner costs without a mortgage (dollars)
S0102_C01_103E,Estimate Total Renter-occupied housing units
